8760
1	1.36	1.252	0	3.264
2	1.02	1.254	0	3.411
3	0.79	1.255	0	3.511
4	0.99	1.255	0	3.407
5	1.30	1.255	0	3.13
6	1.53	1.257	0	2.779
7	1.62	1.258	0	2.431
8	2.10	1.26	93	2.118
9	3.57	1.261	290	1.839
10	4.92	1.26	426	1.981
11	5.87	1.255	466	2.269
12	6.55	1.25	344	2.688
13	6.85	1.246	309	3.04
14	6.97	1.244	361	3.26
15	5.82	1.243	222	2.989
16	2.92	1.244	41	3.02
17	1.69	1.246	0	2.936
18	1.29	1.247	0	2.742
19	1.06	1.248	0	2.588
20	1.07	1.247	0	2.609
21	0.91	1.245	0	2.826
22	0.71	1.244	0	3.065
23	0.42	1.243	0	3.301
24	0.48	1.243	0	3.476
25	0.44	1.242	0	3.496
26	0.25	1.242	0	3.589
27	-0.20	1.24	0	4.034
28	-0.07	1.235	0	4.304
29	0.41	1.23	0	4.331
30	1.01	1.227	0	4.361
31	1.29	1.228	0	4.628
32	1.73	1.23	171	4.863
33	4.42	1.232	436	4.823
34	7.42	1.232	623	4.868
35	8.76	1.231	730	6.082
36	9.10	1.23	751	7.422
37	9.00	1.23	695	7.659
38	8.37	1.231	560	7.328
39	6.41	1.234	334	6.413
40	3.03	1.237	68	5.968
41	1.64	1.24	0	6.016
42	1.29	1.242	0	6.034
43	0.87	1.244	0	5.95
44	0.37	1.245	0	5.724
45	-0.10	1.246	0	5.46
46	-0.48	1.247	0	5.292
47	-0.81	1.249	0	5.01
48	-0.91	1.25	0	4.623
49	-0.75	1.252	0	4.273
50	-0.64	1.254	0	4.011
51	-0.64	1.256	0	3.86
52	-0.52	1.257	0	3.752
53	-0.80	1.257	0	3.837
54	-0.98	1.258	0	4.039
55	-1.28	1.258	0	4.21
56	-0.82	1.259	170	4.2
57	2.23	1.259	427	3.989
58	4.58	1.258	616	4.105
59	5.73	1.254	699	4.36
60	6.35	1.251	602	4.401
61	6.23	1.249	331	3.897
62	5.81	1.248	297	3.285
63	4.41	1.249	326	3.155
64	1.65	1.25	72	3.61
65	0.10	1.252	0	4.236
66	-0.58	1.256	0	4.52
67	-1.10	1.259	0	4.455
68	-1.34	1.261	0	4.225
69	-1.26	1.262	0	3.979
70	-0.81	1.262	0	3.644
71	-0.06	1.262	0	3.15
72	0.60	1.261	0	2.767
73	0.62	1.261	0	2.694
74	0.29	1.261	0	2.729
75	0.30	1.261	0	2.747
76	0.35	1.262	0	2.689
77	0.03	1.263	0	2.735
78	-0.14	1.265	0	2.783
79	-0.21	1.266	0	2.823
80	0.13	1.267	61	2.845
81	1.58	1.268	185	2.832
82	3.44	1.266	451	2.983
83	4.80	1.262	669	3.089
84	5.63	1.258	689	3.085
85	5.78	1.256	575	2.764
86	5.06	1.256	320	2.339
87	3.31	1.258	109	2.337
88	1.92	1.26	16	2.487
89	1.16	1.262	0	2.674
90	0.80	1.263	0	2.794
91	0.52	1.263	0	2.876
92	0.25	1.263	0	2.962
93	0.21	1.263	0	2.966
94	0.05	1.263	0	3
95	-0.26	1.263	0	2.98
96	-0.65	1.263	0	2.956
97	-0.66	1.264	0	2.989
98	-0.60	1.264	0	3.017
99	-0.65	1.264	0	3.072
100	-0.58	1.264	0	3.049
101	-0.53	1.264	0	3.043
102	-0.62	1.264	0	3.059
103	-0.58	1.264	0	3.003
104	-0.02	1.264	52	2.89
105	1.57	1.263	148	2.74
106	2.60	1.261	204	2.881
107	3.44	1.257	199	3.07
108	4.30	1.251	242	3.063
109	5.59	1.244	435	3.229
110	6.35	1.238	500	3.382
111	4.85	1.234	302	3.413
112	2.58	1.231	64	3.687
113	2.12	1.229	0	3.766
114	2.30	1.227	0	3.849
115	2.37	1.225	0	3.915
116	2.58	1.225	0	3.884
117	3.02	1.225	0	3.738
118	3.02	1.227	0	3.653
119	2.70	1.23	0	3.592
120	2.22	1.232	0	3.576
121	1.81	1.235	0	3.619
122	1.57	1.237	0	3.604
123	1.70	1.238	0	3.5
124	2.16	1.236	0	3.392
125	2.61	1.233	0	3.402
126	2.59	1.23	0	3.591
127	2.46	1.228	0	3.857
128	2.96	1.226	111	4.044
129	5.41	1.224	324	4.101
130	8.28	1.222	497	4.187
131	10.26	1.22	646	4.339
132	11.30	1.216	728	4.592
133	11.59	1.214	676	4.438
134	10.66	1.212	543	4.283
135	8.07	1.212	329	4.459
136	4.87	1.214	77	4.876
137	3.56	1.217	0	5.197
138	3.19	1.22	0	5.417
139	2.90	1.223	0	5.558
140	2.55	1.227	0	5.541
141	2.12	1.23	0	5.38
142	1.87	1.232	0	5.141
143	1.61	1.233	0	4.796
144	1.55	1.234	0	4.408
145	1.86	1.235	0	4.074
146	2.07	1.236	0	3.906
147	1.90	1.236	0	3.919
148	1.53	1.237	0	4.012
149	1.14	1.239	0	4.094
150	0.68	1.242	0	4.197
151	0.29	1.245	0	4.34
152	0.91	1.247	164	4.404
153	4.00	1.248	407	4.369
154	6.13	1.248	589	4.304
155	7.48	1.244	693	3.964
156	8.57	1.239	716	3.797
157	8.88	1.237	658	3.623
158	8.24	1.237	521	3.361
159	6.08	1.24	305	3.078
160	3.29	1.244	66	3.034
161	2.39	1.246	0	2.913
162	2.15	1.248	0	2.808
163	1.74	1.25	0	2.852
164	1.21	1.251	0	2.975
165	0.70	1.252	0	3.153
166	0.38	1.252	0	3.252
167	0.27	1.253	0	3.216
168	0.23	1.254	0	3.125
169	0.23	1.255	0	3.021
170	0.47	1.255	0	2.848
171	0.98	1.254	0	2.541
172	1.37	1.254	0	2.148
173	1.51	1.254	0	1.958
174	1.25	1.254	0	2.022
175	0.96	1.255	0	2.077
176	0.98	1.254	72	2.148
177	2.27	1.253	174	2.255
178	3.62	1.25	302	2.501
179	4.89	1.245	520	2.885
180	6.13	1.237	627	3.139
181	6.56	1.231	405	3.248
182	5.89	1.229	170	2.857
183	4.69	1.227	73	2.614
184	3.96	1.225	18	2.681
185	3.35	1.223	0	3.048
186	2.86	1.222	0	3.448
187	2.51	1.221	0	3.703
188	2.40	1.221	0	3.491
189	2.61	1.221	0	3.125
190	2.58	1.222	0	3.061
191	1.95	1.223	0	3.279
192	1.12	1.224	0	3.55
193	0.53	1.225	0	3.743
194	0.43	1.226	0	3.843
195	0.49	1.226	0	3.845
196	0.29	1.225	0	4.039
197	0.22	1.223	0	4.263
198	0.18	1.221	0	4.45
199	0.08	1.22	0	4.654
200	0.93	1.22	172	4.782
201	4.09	1.219	403	4.854
202	6.74	1.217	574	5.213
203	8.08	1.215	662	5.345
204	8.73	1.212	628	5.316
205	8.57	1.21	482	5.202
206	7.61	1.211	383	5.084
207	5.41	1.213	257	5.121
208	2.12	1.216	62	5.335
209	0.89	1.218	0	5.548
210	0.99	1.22	0	5.368
211	0.80	1.222	0	5.068
212	0.87	1.223	0	4.855
213	0.90	1.224	0	4.743
214	0.82	1.225	0	4.883
215	0.53	1.226	0	5.079
216	0.27	1.227	0	5.222
217	-0.27	1.228	0	5.401
218	-0.72	1.23	0	5.512
219	-0.97	1.231	0	5.568
220	-0.96	1.232	0	5.583
221	-1.11	1.234	0	5.25
222	-1.21	1.235	0	5.028
223	-1.04	1.236	0	4.899
224	-0.09	1.237	108	4.72
225	2.75	1.236	270	4.606
226	4.85	1.234	338	4.524
227	6.00	1.231	368	4.594
228	6.66	1.228	375	4.816
229	7.11	1.225	390	4.918
230	6.91	1.223	358	4.877
231	5.24	1.224	236	4.768
232	2.18	1.226	63	5.071
233	0.81	1.23	0	5.533
234	0.44	1.233	0	5.762
235	-0.13	1.236	0	5.681
236	-0.51	1.238	0	5.479
237	-0.80	1.24	0	5.12
238	-0.89	1.241	0	4.792
239	-0.62	1.242	0	4.407
240	-0.26	1.243	0	4.137
241	-0.22	1.243	0	3.966
242	-0.56	1.244	0	3.923
243	-1.04	1.246	0	3.903
244	-1.42	1.247	0	3.957
245	-1.59	1.248	0	4.002
246	-1.60	1.248	0	3.975
247	-1.60	1.25	0	3.956
248	-0.81	1.251	189	3.906
249	2.14	1.251	431	3.914
250	4.20	1.249	614	3.958
251	5.55	1.245	720	3.878
252	6.44	1.241	743	3.672
253	6.75	1.239	681	3.42
254	6.41	1.239	540	3.15
255	4.44	1.239	321	2.783
256	2.03	1.242	78	2.86
257	1.35	1.245	0	2.791
258	1.22	1.248	0	2.675
259	1.26	1.25	0	2.514
260	1.23	1.251	0	2.358
261	1.33	1.253	0	2.274
262	1.31	1.253	0	2.183
263	1.28	1.253	0	2.159
264	1.21	1.253	0	2.3
265	1.09	1.252	0	2.445
266	0.78	1.252	0	2.656
267	0.06	1.251	0	2.926
268	-0.48	1.251	0	3.102
269	-0.86	1.251	0	3.264
270	-1.05	1.252	0	3.391
271	-1.07	1.252	0	3.433
272	-0.14	1.253	194	3.315
273	2.68	1.252	426	3.149
274	4.41	1.249	608	2.907
275	6.12	1.241	711	2.844
276	7.85	1.233	735	2.797
277	8.63	1.228	679	2.723
278	8.33	1.226	544	2.78
279	6.17	1.227	333	2.854
280	3.76	1.228	88	3.001
281	2.85	1.228	0	2.981
282	2.96	1.228	0	2.867
283	2.78	1.228	0	2.728
284	2.23	1.227	0	2.779
285	2.59	1.226	0	2.941
286	3.17	1.226	0	2.769
287	3.02	1.226	0	2.675
288	2.11	1.227	0	2.718
289	1.49	1.229	0	2.573
290	1.02	1.231	0	2.42
291	0.71	1.232	0	2.404
292	0.60	1.233	0	2.465
293	0.52	1.233	0	2.511
294	0.57	1.233	0	2.677
295	0.73	1.232	0	2.765
296	1.65	1.232	170	2.616
297	4.47	1.231	411	2.382
298	6.49	1.229	584	2.294
299	7.84	1.223	600	2.302
300	8.45	1.218	362	2.456
301	8.57	1.215	274	2.609
302	8.88	1.213	413	2.693
303	7.48	1.212	275	2.519
304	5.18	1.212	60	2.681
305	3.83	1.213	0	2.865
306	3.32	1.213	0	3.186
307	3.13	1.213	0	3.8
308	3.40	1.212	0	4.277
