     -8344.2982,    -22005.7303, -13661.4321
     -8352.4992,    -22008.2496, -13655.7504
     -8359.6447,    -22010.4956, -13650.8509
     -8366.7015,    -22012.1222, -13645.4207
     -8376.8474,    -22015.3703, -13638.5229
     -8387.7331,    -22017.5068, -13629.7737
     -8396.0578,    -22018.6879, -13622.6302
     -8404.9752,    -22022.3981, -13617.4230
     -8412.6030,    -22023.4790, -13610.8760
     -8417.4514,    -22023.8326, -13606.3812
     -8423.8410,    -22026.3699, -13602.5288
     -8433.2194,    -22029.2493, -13596.0299
     -8438.9598,    -22029.9905, -13591.0307
     -8447.2201,    -22031.7440, -13584.5239
     -8457.0937,    -22033.9825, -13576.8888
     -8466.1367,    -22036.0820, -13569.9453
     -8475.1879,    -22039.8588, -13564.6709
     -8484.5648,    -22044.0726, -13559.5078
     -8494.9310,    -22048.8599, -13553.9289
     -8503.8662,    -22052.3879, -13548.5218
     -8509.3026,    -22052.5485, -13543.2459
     -8515.4339,    -22053.7391, -13538.3051
     -8522.0404,    -22054.7436, -13532.7032
     -8528.1349,    -22056.6871, -13528.5521
     -8535.2234,    -22059.0559, -13523.8325
     -8541.6143,    -22060.9076, -13519.2933
     -8547.4262,    -22063.7202, -13516.2940
     -8558.0490,    -22068.6559, -13510.6069
     -8564.3346,    -22070.5325, -13506.1979
     -8571.1916,    -22072.0200, -13500.8285
     -8577.9418,    -22073.3297, -13495.3879
     -8586.0715,    -22075.9034, -13489.8319
     -8596.6159,    -22079.1604, -13482.5445
     -8606.6364,    -22081.6114, -13474.9751
     -8614.6671,    -22083.6896, -13469.0225
     -8622.8313,    -22085.4507, -13462.6194
     -8630.9493,    -22088.7787, -13457.8294
     -8638.6257,    -22090.6127, -13451.9871
     -8647.6701,    -22092.9028, -13445.2327
     -8657.1452,    -22096.4649, -13439.3197
     -8667.0100,    -22099.5000, -13432.4899
     -8675.1507,    -22102.9525, -13427.8018
     -8683.3772,    -22104.7035, -13421.3263
     -8692.2244,    -22106.7661, -13414.5417
     -8701.4870,    -22109.8828, -13408.3958
     -8710.7987,    -22112.8849, -13402.0862
     -8719.8072,    -22114.6193, -13394.8121
     -8727.5653,    -22116.0365, -13388.4712
     -8736.2839,    -22118.7482, -13382.4643
     -8744.8467,    -22121.5362, -13376.6895
     -8752.1388,    -22123.0303, -13370.8915
     -8760.8173,    -22126.1436, -13365.3263
     -8771.1039,    -22129.7561, -13358.6522
     -8783.3310,    -22133.4812, -13350.1502
     -8795.1807,    -22136.5493, -13341.3686
     -8806.1089,    -22140.3265, -13334.2176
     -8817.4407,    -22144.1788, -13326.7382
     -8830.0897,    -22148.9594, -13318.8697
     -8841.9988,    -22152.6692, -13310.6704
     -8854.0186,    -22157.2816, -13303.2630
     -8868.2338,    -22162.6064, -13294.3726
     -8880.4008,    -22166.2789, -13285.8781
     -8891.6635,    -22170.8146, -13279.1511
     -8903.0584,    -22176.9064, -13273.8480
     -8913.0382,    -22180.2485, -13267.2102
     -8923.5310,    -22183.3586, -13259.8276
     -8935.0868,    -22186.8363, -13251.7496
     -8946.9473,    -22191.5579, -13244.6106
     -8958.3152,    -22194.9086, -13236.5934
     -8965.6885,    -22198.0536, -13232.3652
     -8974.3106,    -22200.2644, -13225.9538
     -8982.9601,    -22203.5345, -13220.5744
     -8992.8706,    -22206.5273, -13213.6566
     -9004.6746,    -22211.2481, -13206.5736
     -9015.8831,    -22215.0283, -13199.1452
     -9023.4574,    -22218.2559, -13194.7985
     -9033.1106,    -22221.0239, -13187.9133
     -9044.6166,    -22225.1304, -13180.5138
     -9055.3421,    -22229.9728, -13174.6306
     -9065.9371,    -22234.1418, -13168.2047
     -9078.6318,    -22239.3459, -13160.7141
     -9092.3474,    -22244.3780, -13152.0306
     -9106.8188,    -22249.6464, -13142.8275
     -9120.8317,    -22255.3061, -13134.4745
     -9135.8027,    -22261.3783, -13125.5756
     -9148.9382,    -22266.5945, -13117.6563
     -9161.8191,    -22271.3094, -13109.4903
     -9172.0547,    -22276.3069, -13104.2521
     -9184.5315,    -22283.2391, -13098.7076
     -9197.0216,    -22287.0893, -13090.0677
     -9209.2225,    -22291.6754, -13082.4529
     -9219.6393,    -22295.3391, -13075.6998
     -9229.5930,    -22298.5243, -13068.9313
     -9239.1141,    -22302.0228, -13062.9088
     -9249.4934,    -22305.2095, -13055.7161
     -9261.5116,    -22309.4053, -13047.8936
     -9271.6417,    -22312.0303, -13040.3886
     -9281.8420,    -22316.2768, -13034.4349
     -9290.5598,    -22320.1654, -13029.6056
     -9299.6815,    -22322.7967, -13023.1152
     -9309.6502,    -22325.9352, -13016.2850
     -9319.9628,    -22329.3636, -13009.4008
